lat,lon,alt,date,device,os,version
41.9741043986,-87.9008388519,0,2012-01-03 21:07:13,"foursquare",,
20.6358788212,-87.0607893204,0,2012-01-07 07:13:26,"foursquare",,
25.7949841148,-80.2757692337,0,2012-01-08 21:25:43,"foursquare",,
33.6406691148,-84.4360685349,0,2012-01-09 02:33:56,"foursquare",,
33.7720307368,-84.3849563599,0,2012-01-17 02:40:55,"foursquare",,
40.7097247902,-73.9353248209,0,2012-01-28 01:21:34,"foursquare",,
40.7219745571,-73.9575682284,0,2012-01-28 06:47:36,"foursquare",,
33.7774353027,-84.3968582153,294.260955811,2012-02-02 03:22:40,"iPhone4,1",5.0.1,1.0
33.7778892517,-84.3974838257,299,2012-02-02 03:22:40,"iPhone4,1",5.0.1,1.0
33.7774353027,-84.3968582153,294.260955811,2012-02-02 03:22:40,"iPhone4,1",5.1.1,1.1
33.7778892517,-84.3974838257,299,2012-02-02 03:22:40,"iPhone4,1",5.1.1,1.1
33.7646903992,-84.3916015625,294.751373291,2012-02-02 07:53:36,"iPhone4,1",5.0.1,1.0
33.7646903992,-84.3916015625,294.751373291,2012-02-02 07:53:36,"iPhone4,1",5.1.1,1.1
33.7772789001,-84.3960494995,295.765777588,2012-02-02 08:02:08,"iPhone4,1",5.0.1,1.0
33.7772789001,-84.3960494995,295.765777588,2012-02-02 08:02:08,"iPhone4,1",5.1.1,1.1
33.7768363953,-84.3850784302,294.000152588,2012-02-02 12:01:04,"iPhone4,1",5.0.1,1.0
33.7768363953,-84.3850784302,294.000152588,2012-02-02 12:01:04,"iPhone4,1",5.1.1,1.1
33.7752037048,-84.3751220703,212,2012-02-02 13:45:36,"iPhone4,1",5.0.1,1.0
33.7752037048,-84.3751220703,212,2012-02-02 13:45:36,"iPhone4,1",5.1.1,1.1
33.7755661011,-84.375328064,283.514984131,2012-02-02 16:36:16,"iPhone4,1",5.0.1,1.0
33.7755661011,-84.375328064,283.514984131,2012-02-02 16:36:16,"iPhone4,1",5.1.1,1.1
33.7755317688,-84.3754425049,284.178710938,2012-02-02 16:36:16,"iPhone4,1",5.1.1,1.1
